410001;Szókincs-tár ;Vocabulary Bank;[sound:NewEnglishFileIntHU410001A.mp3];x;1A
410002;Ételek és éttermek ;Food and restaurants;[sound:NewEnglishFileIntHU410002A.mp3];x;1A
410003;sült  (adj);baked;[sound:NewEnglishFileIntHU410003A.mp3];x;1A
410004;bab ;beans;[sound:NewEnglishFileIntHU410004A.mp3];x;1A
410005;főtt  (adj);boiled;[sound:NewEnglishFileIntHU410005A.mp3];x;1A
410006;desszert ;dessert;[sound:NewEnglishFileIntHU410006A.mp3];x;1A
410007;kacsa ;duck;[sound:NewEnglishFileIntHU410007A.mp3];x;1A
410008;hal ;fish;[sound:NewEnglishFileIntHU410008A.mp3];x;1A
410009;villa ;fork;[sound:NewEnglishFileIntHU410009A.mp3];x;1A
410010;friss ;fresh;[sound:NewEnglishFileIntHU410010A.mp3];x;1A
410011;sült (olajban, serpenyőben)  (adj);fried;[sound:NewEnglishFileIntHU410011A.mp3];x;1A
410012;mélyhűtött, fagyasztott ;frozen;[sound:NewEnglishFileIntHU410012A.mp3];x;1A
410013;gyümölcs ;fruit;[sound:NewEnglishFileIntHU410013A.mp3];x;1A
410014;pohár ;glass;[sound:NewEnglishFileIntHU410014A.mp3];x;1A
410015;grill, grillezett  (adj);grilled;[sound:NewEnglishFileIntHU410015A.mp3];x;1A
410016;házi (készítésű) ;home-made;[sound:NewEnglishFileIntHU410016A.mp3];x;1A
410017;kés ;knife;[sound:NewEnglishFileIntHU410017A.mp3];x;1A
410018;fejes saláta ;lettuce;[sound:NewEnglishFileIntHU410018A.mp3];x;1A
410019;sovány, alacsony zsírtartalmú ;low-fat;[sound:NewEnglishFileIntHU410019A.mp3];x;1A
410020;főétel ;main course;[sound:NewEnglishFileIntHU410020A.mp3];x;1A
410021;hús ;meat;[sound:NewEnglishFileIntHU410021A.mp3];x;1A
410022;szalvéta ;napkin;[sound:NewEnglishFileIntHU410022A.mp3];x;1A
410023;őszibarack ;peach;[sound:NewEnglishFileIntHU410023A.mp3];x;1A
410024;bors ;pepper;[sound:NewEnglishFileIntHU410024A.mp3];x;1A
410025;tányér ;plate;[sound:NewEnglishFileIntHU410025A.mp3];x;1A
410026;garnélarák ;prawn;[sound:NewEnglishFileIntHU410026A.mp3];x;1A
410027;nyers ;raw;[sound:NewEnglishFileIntHU410027A.mp3];x;1A
410028;sült (sütőben vagy nyílt tűzön)  (adj);roast;[sound:NewEnglishFileIntHU410028A.mp3];x;1A
410029;lazac ;salmon;[sound:NewEnglishFileIntHU410029A.mp3];x;1A
410030;só ;salt;[sound:NewEnglishFileIntHU410030A.mp3];x;1A
410031;kolbász ;sausage;[sound:NewEnglishFileIntHU410031A.mp3];x;1A
410032;tenger gyümölcsei ;seafood;[sound:NewEnglishFileIntHU410032A.mp3];x;1A
410033;szalvéta ;serviette;[sound:NewEnglishFileIntHU410033A.mp3];x;1A
410034;fűszeres, erős ;spicy;[sound:NewEnglishFileIntHU410034A.mp3];x;1A
410035;kanál ;spoon;[sound:NewEnglishFileIntHU410035A.mp3];x;1A
410036;előétel ;starter;[sound:NewEnglishFileIntHU410036A.mp3];x;1A
410037;párolt, gőzben főtt  (adj);steamed;[sound:NewEnglishFileIntHU410037A.mp3];x;1A
410038;eper ;strawberry;[sound:NewEnglishFileIntHU410038A.mp3];x;1A
410039;édes ;sweet;[sound:NewEnglishFileIntHU410039A.mp3];x;1A
410040;elvitelre / elvihető étel / ill. ilyet árusító hely ;takeaway;[sound:NewEnglishFileIntHU410040A.mp3];x;1A
410041;zöldség ;vegetable;[sound:NewEnglishFileIntHU410041A.mp3];x;1A
410042;tál (mély) ;bowl;[sound:NewEnglishFileIntHU410042A.mp3];x;1A
410043;edény ;dish;[sound:NewEnglishFileIntHU410043A.mp3];x;1A
410044;étteremben étkezik ;eat out;[sound:NewEnglishFileIntHU410044A.mp3];x;1A
410045;zsír, zsíradék ;fat;[sound:NewEnglishFileIntHU410045A.mp3];x;1A
410046;felmelegít ;heat up;[sound:NewEnglishFileIntHU410046A.mp3];x;1A
410047;méz ;honey;[sound:NewEnglishFileIntHU410047A.mp3];x;1A
410048;adag ;portion;[sound:NewEnglishFileIntHU410048A.mp3];x;1A
410049;leves ;soup;[sound:NewEnglishFileIntHU410049A.mp3];x;1A
410050;ragu, pörkölt ;stew;[sound:NewEnglishFileIntHU410050A.mp3];x;1A
410051;teljes őrlésű  (adj);wholemeal;[sound:NewEnglishFileIntHU410051A.mp3];x;1A
410052;külföldön ;abroad;[sound:NewEnglishFileIntHU410052A.mp3];x;1A
410053;bevall, besimer ;admit;[sound:NewEnglishFileIntHU410053A.mp3];x;1A
410054;mennyiség ;amount;[sound:NewEnglishFileIntHU410054A.mp3];x;1A
410055;hangulat ;atmosphere;[sound:NewEnglishFileIntHU410055A.mp3];x;1A
410056;függ vmitől (pl. káros szenvedély) ;be addicted to something;[sound:NewEnglishFileIntHU410056A.mp3];x;1A
410057;méh ;bee;[sound:NewEnglishFileIntHU410057A.mp3];x;1A
410058;menza, munkahelyi étkezde ;canteen;[sound:NewEnglishFileIntHU410058A.mp3];x;1A
410059;gabonapehely, gabonaféle ;cereal;[sound:NewEnglishFileIntHU410059A.mp3];x;1A
410060;főszakács ;chef;[sound:NewEnglishFileIntHU410060A.mp3];x;1A
410061;kolléga, munkatárs ;colleague;[sound:NewEnglishFileIntHU410061A.mp3];x;1A
410062;lecsökkent vmit ;cut down on something;[sound:NewEnglishFileIntHU410062A.mp3];x;1A
410063;elhagy vmit ;cut something out;[sound:NewEnglishFileIntHU410063A.mp3];x;1A
410064;étrend ;diet;[sound:NewEnglishFileIntHU410064A.mp3];x;1A
410065;divatos ;fashionable;[sound:NewEnglishFileIntHU410065A.mp3];x;1A
410066;gyorsétel ;fast food;[sound:NewEnglishFileIntHU410066A.mp3];x;1A
410067;kedvenc ;favourite;[sound:NewEnglishFileIntHU410067A.mp3];x;1A
410068;rossz kedve van ;feel down;[sound:NewEnglishFileIntHU410068A.mp3];x;1A
410069;követ ;follow;[sound:NewEnglishFileIntHU410069A.mp3];x;1A
410070;üzemanyag ;fuel;[sound:NewEnglishFileIntHU410070A.mp3];x;1A
410071;egyre jobban érzi magát, gyógyul ;get better;[sound:NewEnglishFileIntHU410071A.mp3];x;1A
410072;egészséges ;healthy;[sound:NewEnglishFileIntHU410072A.mp3];x;1A
410073;éhes ;hungry;[sound:NewEnglishFileIntHU410073A.mp3];x;1A
410074;javul, javít ;improve;[sound:NewEnglishFileIntHU410074A.mp3];x;1A
410075;folyadék ;liquid;[sound:NewEnglishFileIntHU410075A.mp3];x;1A
410076;étkezés ;meal;[sound:NewEnglishFileIntHU410076A.mp3];x;1A
410077;hiányol, kihagy vmit ;miss something;[sound:NewEnglishFileIntHU410077A.mp3];x;1A
410078;növény ;plant;[sound:NewEnglishFileIntHU410078A.mp3];x;1A
410079;élvezet, szórakozás ;pleasure;[sound:NewEnglishFileIntHU410079A.mp3];x;1A
410080;ár ;price;[sound:NewEnglishFileIntHU410080A.mp3];x;1A
410081;megfelelő, kellő, helyénvaló ;proper;[sound:NewEnglishFileIntHU410081A.mp3];x;1A
410082;kocsma, söröző ;pub;[sound:NewEnglishFileIntHU410082A.mp3];x;1A
410083;mennyiség ;quantity;[sound:NewEnglishFileIntHU410083A.mp3];x;1A
410084;véres (egyben sült hús) ;rare;[sound:NewEnglishFileIntHU410084A.mp3];x;1A
410085;előfőzött, konyhakész  (adj);ready-cooked;[sound:NewEnglishFileIntHU410085A.mp3];x;1A
410086;ajánl ;recommend;[sound:NewEnglishFileIntHU410086A.mp3];x;1A
410087;saláta ;salad;[sound:NewEnglishFileIntHU410087A.mp3];x;1A
410088;szolgáltatás ;service;[sound:NewEnglishFileIntHU410088A.mp3];x;1A
410089;harapnivaló, tízórai, uzsonna ;snack;[sound:NewEnglishFileIntHU410089A.mp3];x;1A
410090;szigorú ;strict;[sound:NewEnglishFileIntHU410090A.mp3];x;1A
410091;édesszájú ;have a sweet tooth;[sound:NewEnglishFileIntHU410091A.mp3];x;1A
410092;tehetség ;talent;[sound:NewEnglishFileIntHU410092A.mp3];x;1A
410093;jellemző, tipikus ;typical;[sound:NewEnglishFileIntHU410093A.mp3];x;1A
410094;egészségtelen ;unhealthy;[sound:NewEnglishFileIntHU410094A.mp3];x;1A
410095;változatosság, sokféleség ;variety;[sound:NewEnglishFileIntHU410095A.mp3];x;1A
410096;vegetáriánus ;vegetarian;[sound:NewEnglishFileIntHU410096A.mp3];x;1A
410097;jól átsütött (hús) ;well done;[sound:NewEnglishFileIntHU410097A.mp3];x;1A
410098;elnyugatosodott ;westernized;[sound:NewEnglishFileIntHU410098A.mp3];x;1A
410099;aggódik vmi miatt ;worry about something;[sound:NewEnglishFileIntHU410099A.mp3];x;1A
410100;Sport ;Sport;[sound:NewEnglishFileIntHU410100A.mp3];x;1B
410101;legyőz, megver  (v);beat;[sound:NewEnglishFileIntHU410101A.mp3];x;1B
410102;kapitány ;captain;[sound:NewEnglishFileIntHU410102A.mp3];x;1B
410103;körpálya, körverseny ;circuit;[sound:NewEnglishFileIntHU410103A.mp3];x;1B
410104;edző ;coach ;[sound:NewEnglishFileIntHU410104A.mp3];x;1B
410105;(sport)pálya (pl. golf) ;course;[sound:NewEnglishFileIntHU410105A.mp3];x;1B
410106;(sport)pálya (pl. tenisz) ;court;[sound:NewEnglishFileIntHU410106A.mp3];x;1B
410107;döntetlen  (n);draw;[sound:NewEnglishFileIntHU410107A.mp3];x;1B
410108;rajongó ;fan;[sound:NewEnglishFileIntHU410108A.mp3];x;1B
410109;fitté válik ;get fit;[sound:NewEnglishFileIntHU410109A.mp3];x;1B
410110;megsérül ;get injured;[sound:NewEnglishFileIntHU410110A.mp3];x;1B
410111;veszít, elveszít ;lose;[sound:NewEnglishFileIntHU410111A.mp3];x;1B
410112;játéktér, focipálya ;pitch;[sound:NewEnglishFileIntHU410112A.mp3];x;1B
410113;játszik ;play;[sound:NewEnglishFileIntHU410113A.mp3];x;1B
410114;játékos ;player;[sound:NewEnglishFileIntHU410114A.mp3];x;1B
410115;medence ;pool;[sound:NewEnglishFileIntHU410115A.mp3];x;1B
410116;bíró ;referee;[sound:NewEnglishFileIntHU410116A.mp3];x;1B
410117;pontot szerez, gólt dob/rúg  (v);score;[sound:NewEnglishFileIntHU410117A.mp3];x;1B
410118;lejtő ;slope;[sound:NewEnglishFileIntHU410118A.mp3];x;1B
410119;néző ;spectator;[sound:NewEnglishFileIntHU410119A.mp3];x;1B
410120;stadion ;stadium;[sound:NewEnglishFileIntHU410120A.mp3];x;1B
410121;sportcsarnok ;sports hall;[sound:NewEnglishFileIntHU410121A.mp3];x;1B
410122;csapat ;team;[sound:NewEnglishFileIntHU410122A.mp3];x;1B
410123;futópálya ;track;[sound:NewEnglishFileIntHU410123A.mp3];x;1B
410124;edz ;train;[sound:NewEnglishFileIntHU410124A.mp3];x;1B
410125;bemelegítés ;warm up;[sound:NewEnglishFileIntHU410125A.mp3];x;1B
410126;nyer, megnyer ;win;[sound:NewEnglishFileIntHU410126A.mp3];x;1B
410127;betilt ;ban;[sound:NewEnglishFileIntHU410127A.mp3];x;1B
410128;karrier ;career;[sound:NewEnglishFileIntHU410128A.mp3];x;1B
410129;csal ;cheat;[sound:NewEnglishFileIntHU410129A.mp3];x;1B
410130;tömeg ;crowd;[sound:NewEnglishFileIntHU410130A.mp3];x;1B
410131;zsoké ;jockey;[sound:NewEnglishFileIntHU410131A.mp3];x;1B
410132;tiltakozik  (v);protest;[sound:NewEnglishFileIntHU410132A.mp3];x;1B
410133;verseny ;race;[sound:NewEnglishFileIntHU410133A.mp3];x;1B
410134;nyugdíjba megy ;retire;[sound:NewEnglishFileIntHU410134A.mp3];x;1B
410135;kard ;sword;[sound:NewEnglishFileIntHU410135A.mp3];x;1B
410136;tévé kommentátor ;TV commentator;[sound:NewEnglishFileIntHU410136A.mp3];x;1B
410137;baleset ;accident;[sound:NewEnglishFileIntHU410137A.mp3];x;1B
410138;hozzászokik, alkalmazkodik ;adjust;[sound:NewEnglishFileIntHU410138A.mp3];x;1B
410139;anekdota ;anecdote;[sound:NewEnglishFileIntHU410139A.mp3];x;1B
410140;híresség ;celebrity;[sound:NewEnglishFileIntHU410140A.mp3];x;1B
410141;biztat, éljenez, szurkol ;cheer;[sound:NewEnglishFileIntHU410141A.mp3];x;1B
410142;versenyez ;compete;[sound:NewEnglishFileIntHU410142A.mp3];x;1B
410143;bonyolult ;complicated;[sound:NewEnglishFileIntHU410143A.mp3];x;1B
410144;döntés ;decision;[sound:NewEnglishFileIntHU410144A.mp3];x;1B
410145;depresszió ;depression;[sound:NewEnglishFileIntHU410145A.mp3];x;1B
410146;hátrány ;disadvantage;[sound:NewEnglishFileIntHU410146A.mp3];x;1B
410147;rájön, felfedez ;discover;[sound:NewEnglishFileIntHU410147A.mp3];x;1B
410148;felfedezés ;discovery;[sound:NewEnglishFileIntHU410148A.mp3];x;1B
410149;szégyen ;disgrace;[sound:NewEnglishFileIntHU410149A.mp3];x;1B
410150;leejt vmit  (sth);drop;[sound:NewEnglishFileIntHU410150A.mp3];x;1B
410151;még  ;even;[sound:NewEnglishFileIntHU410151A.mp3];x;1B
410152;megvizsgál ;examine;[sound:NewEnglishFileIntHU410152A.mp3];x;1B
410153;kivétel ;exception;[sound:NewEnglishFileIntHU410153A.mp3];x;1B
410154;izgalmas ;exciting;[sound:NewEnglishFileIntHU410154A.mp3];x;1B
410155;élmény ;experience;[sound:NewEnglishFileIntHU410155A.mp3];x;1B
410156;kudarcot vall, megbukik ;fail;[sound:NewEnglishFileIntHU410156A.mp3];x;1B
410157;kudarc, sikertelenség ;failure;[sound:NewEnglishFileIntHU410157A.mp3];x;1B
410158;igazságos ;fair;[sound:NewEnglishFileIntHU410158A.mp3];x;1B
410159;megbotlik ;fall over;[sound:NewEnglishFileIntHU410159A.mp3];x;1B
410160;híres ;famous;[sound:NewEnglishFileIntHU410160A.mp3];x;1B
410161;szabálytalanság ;foul;[sound:NewEnglishFileIntHU410161A.mp3];x;1B
410162;csillogás ;glamour;[sound:NewEnglishFileIntHU410162A.mp3];x;1B
410163;veszteség ;loss;[sound:NewEnglishFileIntHU410163A.mp3];x;1B
410164;választható ;optional;[sound:NewEnglishFileIntHU410164A.mp3];x;1B
410165;fájdalom ;pain;[sound:NewEnglishFileIntHU410165A.mp3];x;1B
410166;részben ;partly;[sound:NewEnglishFileIntHU410166A.mp3];x;1B
410167;csúcs ;peak;[sound:NewEnglishFileIntHU410167A.mp3];x;1B
410168;kiválaszt ;pick;[sound:NewEnglishFileIntHU410168A.mp3];x;1B
410169;testnevelés ;physical education;[sound:NewEnglishFileIntHU410169A.mp3];x;1B
410170;"színlel; úgy tesz, mintha ";pretend;[sound:NewEnglishFileIntHU410170A.mp3];x;1B
410171;profi, hivatásos ;professional;[sound:NewEnglishFileIntHU410171A.mp3];x;1B
410172;elismerés ;recognition;[sound:NewEnglishFileIntHU410172A.mp3];x;1B
410173;felgyógyul ;recover;[sound:NewEnglishFileIntHU410173A.mp3];x;1B
410174;visszavonulás, nyugdíj ;retirement;[sound:NewEnglishFileIntHU410174A.mp3];x;1B
410175;kiválik, kiemelkedik ;stand out;[sound:NewEnglishFileIntHU410175A.mp3];x;1B
410176;megérint ;touch;[sound:NewEnglishFileIntHU410176A.mp3];x;1B
410177;trófea ;trophy;[sound:NewEnglishFileIntHU410177A.mp3];x;1B
410178;Személyiség ;Personality;[sound:NewEnglishFileIntHU410178A.mp3];x;1C
410179;érzelmes  ;affectionate;[sound:NewEnglishFileIntHU410179A.mp3];x;1C
410180;agresszív ;aggressive;[sound:NewEnglishFileIntHU410180A.mp3];x;1C
410181;törekvő, nagyravágyó ;ambitious;[sound:NewEnglishFileIntHU410181A.mp3];x;1C
410182;parancsolgató, főnökösködő ;bossy;[sound:NewEnglishFileIntHU410182A.mp3];x;1C
410183;elbűvölő ;charming;[sound:NewEnglishFileIntHU410183A.mp3];x;1C
410184;okos ;clever;[sound:NewEnglishFileIntHU410184A.mp3];x;1C
410185;versenyszellemű ;competitive;[sound:NewEnglishFileIntHU410185A.mp3];x;1C
410186;tisztességtelen, nem becsületes ;dishonest;[sound:NewEnglishFileIntHU410186A.mp3];x;1C
410187;rendezetlen  (adj);disorganized;[sound:NewEnglishFileIntHU410187A.mp3];x;1C
410188;extrovertált, kifelé forduló ;extrovert;[sound:NewEnglishFileIntHU410188A.mp3];x;1C
410189;barátságos ;friendly;[sound:NewEnglishFileIntHU410189A.mp3];x;1C
410190;nagylelkű, bőkezű ;generous;[sound:NewEnglishFileIntHU410190A.mp3];x;1C
410191;szorgalmas  ;hard-working;[sound:NewEnglishFileIntHU410191A.mp3];x;1C
410192;becsületes, őszinte ;honest;[sound:NewEnglishFileIntHU410192A.mp3];x;1C
410193;fantáziadús, gazdag a képzelőereje ;imaginative;[sound:NewEnglishFileIntHU410193A.mp3];x;1C
410194;türelmetlen ;impatient;[sound:NewEnglishFileIntHU410194A.mp3];x;1C
410195;független ;independent;[sound:NewEnglishFileIntHU410195A.mp3];x;1C
410196;bizonytalan ;insecure;[sound:NewEnglishFileIntHU410196A.mp3];x;1C
410197;érzéketlen ;insensitive;[sound:NewEnglishFileIntHU410197A.mp3];x;1C
410198;felelőtlen ;irresponsible;[sound:NewEnglishFileIntHU410198A.mp3];x;1C
410199;féltékeny ;jealous;[sound:NewEnglishFileIntHU410199A.mp3];x;1C
410200;kedves ;kind;[sound:NewEnglishFileIntHU410200A.mp3];x;1C
410201;lusta ;lazy;[sound:NewEnglishFileIntHU410201A.mp3];x;1C
410202;másokat befolyásoló ;manipulative;[sound:NewEnglishFileIntHU410202A.mp3];x;1C
410203;zsugori, kicsinyes ;mean;[sound:NewEnglishFileIntHU410203A.mp3];x;1C
410204;szeszélyes ;moody;[sound:NewEnglishFileIntHU410204A.mp3];x;1C
410205;rendezett  (adj);organized;[sound:NewEnglishFileIntHU410205A.mp3];x;1C
410206;türelmes ;patient;[sound:NewEnglishFileIntHU410206A.mp3];x;1C
410207;csendes ;quiet;[sound:NewEnglishFileIntHU410207A.mp3];x;1C
410208;megbízható ;reliable;[sound:NewEnglishFileIntHU410208A.mp3];x;1C
410209;felelősségteljes, felelős ;responsible;[sound:NewEnglishFileIntHU410209A.mp3];x;1C
410210;magabiztos ;self-confident;[sound:NewEnglishFileIntHU410210A.mp3];x;1C
410211;önző ;selfish;[sound:NewEnglishFileIntHU410211A.mp3];x;1C
410212;értelmes ;sensible;[sound:NewEnglishFileIntHU410212A.mp3];x;1C
410213;érzékeny ;sensitive;[sound:NewEnglishFileIntHU410213A.mp3];x;1C
410214;félénk, gátlásos ;shy;[sound:NewEnglishFileIntHU410214A.mp3];x;1C
410215;társaságkedvelő ;sociable;[sound:NewEnglishFileIntHU410215A.mp3];x;1C
410216;elkényeztetett ;spoilt;[sound:NewEnglishFileIntHU410216A.mp3];x;1C
410217;buta, hülye ;stupid;[sound:NewEnglishFileIntHU410217A.mp3];x;1C
410218;bőbeszédű ;talkative;[sound:NewEnglishFileIntHU410218A.mp3];x;1C
410219;rendes ;tidy;[sound:NewEnglishFileIntHU410219A.mp3];x;1C
410220;nincsenek nagy céljai, nem becsvágyó ;unambitious;[sound:NewEnglishFileIntHU410220A.mp3];x;1C
410221;barátságtalan ;unfriendly;[sound:NewEnglishFileIntHU410221A.mp3];x;1C
410222;fantáziátlan, szegényes a képzelőereje ;unimaginative;[sound:NewEnglishFileIntHU410222A.mp3];x;1C
410223;durva, barátságtalan ;unkind;[sound:NewEnglishFileIntHU410223A.mp3];x;1C
410224;megbízhatatlan ;unreliable;[sound:NewEnglishFileIntHU410224A.mp3];x;1C
410225;önzetlen ;unselfish;[sound:NewEnglishFileIntHU410225A.mp3];x;1C
410226;társaságkerülő ;unsociable;[sound:NewEnglishFileIntHU410226A.mp3];x;1C
410227;rendetlen ;untidy;[sound:NewEnglishFileIntHU410227A.mp3];x;1C
410228;korkülönbség ;age gap;[sound:NewEnglishFileIntHU410228A.mp3];x;1C
410229;harap  (v);bite;[sound:NewEnglishFileIntHU410229A.mp3];x;1C
410230;felelősség  (n);blame;[sound:NewEnglishFileIntHU410230A.mp3];x;1C
410231;közeli ;close;[sound:NewEnglishFileIntHU410231A.mp3];x;1C
410232;menő, divatos ;cool;[sound:NewEnglishFileIntHU410232A.mp3];x;1C
410233;generáció ;generation;[sound:NewEnglishFileIntHU410233A.mp3];x;1C
410234;gyerek, kölyök ;kid;[sound:NewEnglishFileIntHU410234A.mp3];x;1C
410235;kibékül ;make up (after an argument);[sound:NewEnglishFileIntHU410235A.mp3];x;1C
410236;megcsíp, belecsíp (ujjal)  (v);pinch;[sound:NewEnglishFileIntHU410236A.mp3];x;1C
410237;forma ;shape;[sound:NewEnglishFileIntHU410237A.mp3];x;1C
410238;vmi szerint ;according to;[sound:NewEnglishFileIntHU410238A.mp3];x;1C
410239;előny ;advantage;[sound:NewEnglishFileIntHU410239A.mp3];x;1C
410240;befolyásol, érint ;affect;[sound:NewEnglishFileIntHU410240A.mp3];x;1C
410241;borzalmas, rettenetes ;awful;[sound:NewEnglishFileIntHU410241A.mp3];x;1C
410242;kabát ;coat;[sound:NewEnglishFileIntHU410242A.mp3];x;1C
410243;pár ;couple (two people);[sound:NewEnglishFileIntHU410243A.mp3];x;1C
410244;unokatestvér ;cousin;[sound:NewEnglishFileIntHU410244A.mp3];x;1C
410245;ütközés, baleset  (n);crash;[sound:NewEnglishFileIntHU410245A.mp3];x;1C
410246;kritizál ;criticize somebody;[sound:NewEnglishFileIntHU410246A.mp3];x;1C
410247;süket ;deaf;[sound:NewEnglishFileIntHU410247A.mp3];x;1C
410248;megvéd ;defend somebody;[sound:NewEnglishFileIntHU410248A.mp3];x;1C
410249;biztosan ;definitely;[sound:NewEnglishFileIntHU410249A.mp3];x;1C
410250;leírás ;description;[sound:NewEnglishFileIntHU410250A.mp3];x;1C
410251;válás ;divorce;[sound:NewEnglishFileIntHU410251A.mp3];x;1C
410252;pénzt keres ;earn money;[sound:NewEnglishFileIntHU410252A.mp3];x;1C
410253;kiterjedt, széleskörű ;extended ;[sound:NewEnglishFileIntHU410253A.mp3];x;1C
410254;divatos ;fashionable;[sound:NewEnglishFileIntHU410254A.mp3];x;1C
410255;alapító ;founder;[sound:NewEnglishFileIntHU410255A.mp3];x;1C
410256;bőkezű ;generous;[sound:NewEnglishFileIntHU410256A.mp3];x;1C
410257;dédszülők ;great-grandparents;[sound:NewEnglishFileIntHU410257A.mp3];x;1C
410258;vendég ;guest;[sound:NewEnglishFileIntHU410258A.mp3];x;1C
410259;féltestvér (fiú) ;half-brother;[sound:NewEnglishFileIntHU410259A.mp3];x;1C
410260;rokonok (házasság révén, pl. após, anyós) ;in-laws;[sound:NewEnglishFileIntHU410260A.mp3];x;1C
410261;unokaöcs ;nephew;[sound:NewEnglishFileIntHU410261A.mp3];x;1C
410262;ideges ;nervous;[sound:NewEnglishFileIntHU410262A.mp3];x;1C
